_id,﻿id,año,rol_establecimiento,id_rol_establecimiento,id_vu,nombre_establecimiento,razon_social,rut_razon_social,ciiu4,id_ciiu4,ciiu6,id_ciiu6,latitud,longitud,id_comuna,comuna,provincia,region,rubro_vu,id_rubro_vu,entrada_salida,cantidad_toneladas,tratamiento_nivel_3,id_tratamiento_nivel_3,tratamiento_nivel_1,id_tratamiento_nivel_1,capitulo_ler,id_capitulo_ler,subcapitulo_ler,id_subcapitulo_ler,nombre_ler,ler_codigo
1,15,2022,Destinatario Final,4,5440322,MINERA ANTUCOYA,MINERA ANTUCOYA,76079669-7,Extracción y procesamiento de cobre,B0400,Extracción y procesamiento de cobre,B040000,"-22,622444473777","-69,838470110231",2102,Mejillones,Antofagasta,Antofagasta,Minería,4,1,"316,25",Relleno sanitario,11,Eliminación,1,"20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",20,03 | Otros residuos municipales,3,20 03 01 | Mezclas de residuos municipales,2001-03-20T00:00:00
2,138,2022,Destinatario Final,4,5461522,RECUPAC SUCURSAL CERRILLOS,RECUPAC S.A.,96588400-9,Tratamiento y eliminación de desechos no peligrosos,E3821,Tratamiento y eliminación de desechos no peligrosos,E382100,"-33,491070576744","-70,717452343108",13102,Cerrillos,Santiago,Metropolitana de Santiago,Gestores de residuos,15,1,"6,221",Eliminación,1,Eliminación,1,"15 | Residuos de envases; absorbentes, trapos de limpieza, materiales de filtración y ropas de protección no especificados en otra categoría",15,01 | Envases (incluidos los residuos de envases de la recogida selectiva municipal),1,15 01 02 | Envases de plástico,2002-01-15T00:00:00
3,212,2022,Destinatario Final,4,5461523,RECUPAC SUCURSAL PINTANA,RECUPAC S.A.,96588400-9,Recogida de desechos no peligrosos,E3811,Recogida de desechos no peligrosos,E381100,"-33,584499416591","-70,619657584284",13112,La Pintana,Santiago,Metropolitana de Santiago,Gestores de residuos,15,1,"2,55",Co-incineración,24,Valorización,2,17 | Residuos de la construcción y demolición,17,"02 | Madera, vidrio y plástico",2,17 02 01 | Madera libre de impregnación o pinturas,2001-02-17T00:00:00
4,1188,2022,Destinatario Final,4,5459852,ESPINOZA HERMANOS LIMITADA,ESPINOZA HERMANOS LIMITADA,76126367-6,Recogida de desechos no peligrosos,E3811,Recogida de desechos no peligrosos,E381100,"-28,290438355457","-70,697985791257",3301,Vallenar,Huasco,Atacama,Gestores de residuos,15,2,"415,47",Reciclaje de metales,20,Valorización,2,17 | Residuos de la construcción y demolición,17,04 | Metales (incluidas sus aleaciones),4,17 04 07 | Metales mezclados,2007-04-17T00:00:00
5,374,2022,Destinatario Final,4,5452838,GEOBARRA EXINS LTDA,GESTION INTEGRAL DE RESIDUOS GEOBARRA EXINS S.A.,76562260-3,Recuperación de materiales,E3830,Recuperación y reciclamiento de desperdicios y desechos metálicos,E383001,"-34,350119067544","-70,842300871787",6115,Rengo,Cachapoal,Libertador Gral. Bernardo O'Higgins,Gestores de residuos,15,1,"0,24",Valorización,2,Valorización,2,17 | Residuos de la construcción y demolición,17,"02 | Madera, vidrio y plástico",2,17 02 01 | Madera libre de impregnación o pinturas,2001-02-17T00:00:00
6,395,2022,Destinatario Final,4,5477453,BOTADERO TRABUN,TRABUN INGENIERIA AMBIENTAL Y CONSTRUCCION SPA,76329535-4,Preparación del terreno,F4312,Preparación del terreno,F431200,"-33,551511739694","-70,750118784159",13401,San Bernardo,Maipo,Metropolitana de Santiago,Construcción,16,1,"56,221",Relleno sanitario,11,Eliminación,1,12 | Residuos del moldeado y del tratamiento físico y mecánico de superficie de metales y plásticos,12,01 | Residuos del moldeado y tratamiento físico y mecánico de superficie de metales y plásticos,1,12 01 04 | Polvo y partículas de metales no férreos,2004-12-01T00:00:00
7,601,2022,Destinatario Final,4,5460733,GREENDOT,GREENDOT SPA,76469170-9,Recogida de desechos no peligrosos,E3811,Recogida de desechos no peligrosos,E381100,"-33,735424286439","-70,721011675005",13402,Buin,Maipo,Metropolitana de Santiago,Gestores de residuos,15,1,"0,403",Reciclaje de plásticos,18,Valorización,2,17 | Residuos de la construcción y demolición,17,"02 | Madera, vidrio y plástico",2,"17 02 03 | Otros Plástico no especificados en los códigos 17 02 07, 17 02 08, 17 02 09 y 17 02 10",2003-02-17T00:00:00
8,613,2022,Destinatario Final,4,5486067,RELLENO SANITARIO SANTA INÉS,COSEMAR S A,96827370-1,Tratamiento y eliminación de desechos no peligrosos,E3821,Tratamiento y eliminación de desechos no peligrosos,E382100,"-20,1976946265743","-70,0620670318604",1107,Alto Hospicio,Iquique,Tarapacá,Gestores de residuos,15,1,"22,2",Relleno sanitario,11,Eliminación,1,10 | Residuos de procesos térmicos,10,01 | Residuos de centrales eléctricas y otras plantas de combustión (excepto el capítulo 19),1,10 01 99 | Residuos no especificados en otra categoría,1999-10-01T00:00:00
9,650,2022,Destinatario Final,4,5483718,Planta Maule,F4F SPA,76400774-3,Elaboración de piensos preparados para animales,C1080,Elaboración de piensos preparados para animales,C108000,"-35,4594348797351","-71,6492339846558",7105,Maule,Talca,Maule,Otras industrias manufactureras,10,1,"38,076",Reducción de residuos orgánicos en base a larvas de insectos,68,Valorización,2,"02 | Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos",2,05 | Residuos de la industria de productos lácteos,5,02 05 01 | Materiales inadecuados para el consumo o la elaboración,2001-02-05T00:00:00
10,733,2022,Destinatario Final,4,5466790,MI GRAN CHILE,JAIME PATRICIO PINNINGHOFF AZÓCAR GESTION AMBIENTAL EMPRESA INDIVIDUAL,76334479-7,Recuperación de materiales,E3830,Recuperación y reciclamiento de otros desperdicios y desechos n.c.p.,E383009,"-40,573721800784","-73,144106775245",10301,Osorno,Osorno,Los Lagos,Gestores de residuos,15,1,"46,527",Pretratamiento de plásticos,45,Recolección,5,"15 | Residuos de envases; absorbentes, trapos de limpieza, materiales de filtración y ropas de protección no especificados en otra categoría",15,01 | Envases (incluidos los residuos de envases de la recogida selectiva municipal),1,15 01 02 | Envases de plástico,2002-01-15T00:00:00
